"region","Freq"
"AUSTRALIA","199"
"USA","161"
"BRAZIL","121"
"INDONESIA","112"
"MEXICO","60"
"UK","60"
"CHINA","56"
"INDIA","55"
"PHILIPPINES","33"
"CUBA","27"
"FRANCE","25"
"GERMANY","23"
"NETHERLANDS","21"
"MALAYSIA","18"
"SENEGAL","17"
"CANADA","16"
"SOUTH AFRICA","16"
"JAPAN","14"
"BANGLADESH","13"
"COLOMBIA","11"
"GHANA","11"
"ITALY","11"
"IRAN","8"
"NEW ZEALAND","8"
"SINGAPORE","8"
"THAILAND","8"
"BURKINA FASO","6"
"EGYPT","6"
"NIGERIA","6"
"PORTUGAL","6"
"SWEDEN","6"
"DENMARK","5"
"KENYA","5"
"PAKISTAN","5"
"SAUDI ARABIA","5"
"TANZANIA","5"
"ECUADOR","4"
"GABON","4"
"SPAIN","4"
"COSTA RICA","3"
"JAMAICA","3"
"MOZAMBIQUE","3"
"PANAMA","3"
"SRI LANKA","3"
"BELGIUM","2"
"FIJI","2"
"MAURITANIA","2"
"URUGUAY","2"
"VENEZUELA","2"
"ESTONIA","1"
"FINLAND","1"
"GUINEA","1"
"MALI","1"
"MYANMAR","1"
"SAMOA","1"
"SOUTH KOREA","1"
"SWITZERLAND","1"
"TOGO","1"
"ZAMBIA","1"