Geographic Regions,Country,Sum_area (km 2 )
South-eastern Asia,Indonesia,28631.43
South America,Brazil,12148.8
Australia and New Zealand,Australia,10529.92
Central America,Mexico,7754.77
Western Africa,Nigeria,7478.45
South-eastern Asia,Malaysia,5520.22
Melanesia,Papua New Guinea,5302.15
South-eastern Asia,Myanmar,4905.71
Southern Asia,Bangladesh,4341.57
Southern Asia,India,3964.86
Caribbean,Cuba,3695.16
South America,Venezuela,3630.48
South America,Colombia,3115.61
South-eastern Asia,Philippines,3098.9
Eastern Africa,Mozambique,2902.63
Western Africa,Guinea-Bissau,2731.66
Eastern Africa,Madagascar,2544.3
South-eastern Asia,Thailand,2493.32
Northern America,USA,2487.84
Western Africa,Guinea,2203.45
Middle Africa,Gabon,1723.07
South-eastern Asia,Vietnam,1713.54
Central America,Panama,1699.64
Western Africa,Senegal,1665.37
Middle Africa,Cameroon,1570.21
South America,Ecuador,1544
Western Africa,Sierra Leone,1347.55
Eastern Africa,Tanzania,1061.9
Central America,Nicaragua,941.23
South America,French Guiana,880
Caribbean,Bahamas,874.85
Central America,Honduras,872.85
Southern Asia,Pakistan,778.63
Western Africa,Gambia,756.28
South America,Suriname,721.78
Eastern Africa,Kenya,504.87
South-eastern Asia,Cambodia,476.79
Australia and New Zealand,New Zealand,464.11
Central America,Costa Rica,412.84
Central America,El Salvador,378.35
Middle Africa,Angola,344.28
Central America,Belize,336.48
Melanesia,Solomon Islands,332.68
Eastern Asia,China,327.51
Central America,Guatemala,319.53
Melanesia,Fiji,289.6
Middle Africa,Equatorial Guinea,254.25
Middle Africa,Democratic Republic of the Congo,245.41
South America,Guyana,214.36
Western Africa,Liberia,204.93
Caribbean,Haiti,204.08
Caribbean,Turks and Caicos Islands,201.95
Western Africa,Ghana,180.04
South-eastern Asia,Brunei,156.49
Melanesia,New Caledonia,154.62
Southern Asia,Sri Lanka,154.25
Caribbean,Cayman Islands,115.9
Caribbean,Dominican Republic,115.4